amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,wavenumber,spectra
0.00039994851082792327,1690.8826097198848,2.8690004605641066,0.007348238494813933,5.653823218481046e-06,0.998219008746785,0.9970699821318076,8.604045970847306e-07,1.1518879166780627e-10,1.0122199894564109e-10,6.460757962555001e-07,3.387870557339057e-08,6.328121417249672e-07,1698.979,0.0
0.0018422119850009888,1678.7456005388015,7.878723237557538,0.0010205506550646456,1.308166378811443e-05,,,,1.2029125737772704e-10,1.0659271005886357e-10,6.951252093260338e-07,3.856684310868743e-08,9.114699579323272e-07,1697.051,8.120432576479354e-06
0.004293681937250628,1656.2070239011982,5.779374786877926,1.412806305626684,3.083231889308904e-05,,,,1.2573789520759088e-10,1.1240521884639878e-10,7.500360915269012e-07,4.435813412322518e-08,1.505596665588209e-06,1695.122,3.189951239619396e-05
0.0022514496014818834,1634.1280180084332,5.129290057454892,0.04911100225388515,5.906484172633662e-05,,,,1.315665889392259e-10,1.1871681914075495e-10,8.118644276384366e-07,5.171460974056677e-08,3.1313925490989874e-06,1693.194,6.153780211553037e-05
0.00042836879989493343,1614.7726472692077,2.856139777358805,0.8046285826196391,8.315370503862992e-05,,,,1.378073403082839e-10,1.2557991924786499e-10,8.817697876352701e-07,6.161628807972286e-08,7.819355402869827e-06,1691.265,8.199978669714967e-05
,,,,8.778715563707196e-05,,,,1.445070911273315e-10,1.3306982888264823e-10,9.613401561186075e-07,7.715970685782493e-08,1.867830777708904e-05,1689.337,8.64670526069623e-05
,,,,7.993147485131919e-05,,,,1.5170439016315054e-10,1.4125792713263108e-10,1.0523875257391953e-06,1.1005105565404516e-07,3.5122818054581825e-05,1687.408,8.119813242667635e-05
,,,,7.682505263794463e-05,,,,1.5945806804906017e-10,1.5024516904256097e-10,1.1574067531499602e-06,2.044523770912712e-07,4.746364632135335e-05,1685.48,7.783356500315586e-05
,,,,8.266847420747667e-05,,,,1.678181713874937e-10,1.6013070843601733e-10,1.279368155234212e-06,5.084368928392264e-07,4.469541384002222e-05,1683.552,8.26247356748733e-05
,,,,9.127113595972604e-05,,,,1.7685935829595814e-10,1.7105300892098835e-10,1.4224168518330952e-06,1.4487274012192307e-06,2.9489063906663922e-05,1681.623,9.207798216125506e-05
,,,,9.720553446874842e-05,,,,1.866473616289998e-10,1.831531042864331e-10,1.59174066013728e-06,4.046497612976645e-06,1.4285163408193628e-05,1679.695,9.85520337853529e-05
,,,,9.846988160826127e-05,,,,1.972782434709406e-10,1.9662633222776586e-10,1.7947741229863456e-06,1.0293345417303363e-05,5.736687108357992e-06,1677.766,9.825406598602003e-05
,,,,9.524145119913488e-05,,,,2.088394746776251e-10,2.1168031190465036e-10,2.041458469069934e-06,2.315750347295401e-05,2.3917759098835603e-06,1675.838,9.273978427678527e-05
,,,,8.917181577215248e-05,,,,2.2145657072911765e-10,2.286061969934941e-10,2.346835291912491e-06,4.5631212328011405e-05,1.2485358547355173e-06,1673.909,8.620143552507076e-05
,,,,8.313775543000867e-05,,,,2.3524765969225847e-10,2.4775083770576847e-10,2.733297295242244e-06,7.836935566891201e-05,7.993677405593872e-07,1671.981,8.241589191107381e-05
,,,,8.087587627352695e-05,,,,2.5037136311052304e-10,2.696886084041892e-10,3.2384997308307797e-06,0.00011714771699802246,5.709548672486963e-07,1670.052,8.386378125459775e-05
,,,,8.634315996153655e-05,,,,2.670145662822636e-10,2.956123969894516e-10,3.930204016093778e-06,0.00015230384985297292,4.32520143035084e-07,1668.124,9.101871383107739e-05
,,,,0.0001026247516977928,,,,2.8536871033827806e-10,3.287892722180769e-10,4.937445953644246e-06,0.00017210502628068193,3.40469474652991e-07,1666.195,0.00010368731746031562
,,,,0.0001304339529260723,,,,3.0569913255327927e-10,3.799444381735469e-10,6.519577270326674e-06,0.0001690337849713235,2.755597256049173e-07,1664.267,0.00012639534527489042
,,,,0.00016682309647183106,,,,3.282766926390111e-10,4.845019744756199e-10,9.179378753665112e-06,0.00014430046031336106,2.279207489569161e-07,1662.338,0.00016332513938031862
,,,,0.00020475001934330478,,,,3.534734646321115e-10,7.565624762139974e-10,1.3842616542665153e-05,0.00010707548125361469,1.9180104662592642e-07,1660.41,0.00020619626243298828
