amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,area_5,area_6,wavenumber,spectra
,,,,8.790205914617884e-05,,,,1.7627006152841974e-07,5.038417835179648e-07,4.993111871948763e-09,3.166138476938623e-05,1.0547205883219206e-06,3.8821579875389127e-07,2.2863309950065354e-07,1656.553,8.882183632568008e-05
,,,,8.01876059544745e-05,,,,1.97537023714185e-07,5.9629829453927e-07,1.7148095901203662e-08,4.558074585994446e-05,8.841711531874095e-07,2.7748789110747615e-07,1.9479130582857735e-07,1654.625,7.934306551190604e-05
,,,,7.125436672806445e-05,,,,2.230280948993658e-07,7.196214531467944e-07,9.311198199542657e-08,5.827156497974335e-05,4.2318435300604747e-07,2.0857993002669312e-07,1.6820252158354664e-07,1652.696,6.98347142993191e-05
,,,,6.712649711552082e-05,,,,2.53949678734364e-07,8.924581165657844e-07,4.796168409220697e-07,6.613708772543086e-05,2.1538068618030482e-07,1.6268785805258708e-07,1.4687528919727205e-07,1650.768,6.624722919983037e-05
,,,,6.842102937621422e-05,,,,2.9207926237163907e-07,1.1555094449795783e-06,2.0003554607376337e-06,6.665053279074605e-05,1.2542197728221612e-07,1.3050420629691265e-07,1.2945110832290747e-07,1648.839,6.843804465391087e-05
,,,,7.048385425073694e-05,,,,3.3993414249490583e-07,1.6058891934849245e-06,6.533351363372301e-06,5.9638796941431955e-05,8.09715876191571e-08,1.070619124946928e-07,1.1502423531628097e-07,1646.911,7.003717860204099e-05
,,,,6.828805619508325e-05,,,,4.015099680268933e-07,2.482226483619374e-06,1.6616816318657403e-05,4.7377346787994755e-05,5.6248466815162854e-08,8.942994177584069e-08,1.0291914863140457e-07,1644.982,6.6640017865646e-05
,,,,6.010729331440122e-05,,,,4.833414571203499e-07,4.317733188188394e-06,3.282152068076662e-05,3.342203179257371e-05,4.123335522328917e-08,7.584173490941147e-08,9.266451928269707e-08,1643.054,6.001881848044233e-05
,,,,4.774817962422258e-05,,,,5.98114816546698e-07,8.12499365852399e-06,5.035454804627551e-05,2.0929459543194807e-05,3.146774656206475e-08,6.513498255440578e-08,8.388716081702408e-08,1641.125,4.901220536309454e-05
,,,,3.401805921288102e-05,,,,7.740859330147204e-07,1.5363152169820254e-05,5.996705497913657e-05,1.1640107477432269e-05,2.4783430311069663e-08,5.655518377270835e-08,7.63199726912341e-08,1639.197,3.4642220263605543e-05
,,,,2.152551568892942e-05,,,,1.0836678335421707e-06,2.7338910263318417e-05,5.544740170774117e-05,5.7482783064408726e-06,2.0012508897595944e-08,4.9569295532661496e-08,6.974425823098718e-08,1637.268,2.163691667006752e-05
,,,,1.2813750575656751e-05,,,,1.7149728800178986e-06,4.387760610135032e-05,3.97970955318509e-05,2.519424261641899e-06,1.6490221637282227e-08,4.380209298522913e-08,6.39893702519244e-08,1635.34,1.0462717284864363e-05
,,,,8.406490074766098e-06,,,,3.1123541791116025e-06,6.197837566369157e-05,2.2183359639653887e-05,9.808870015783793e-07,1.3820128423950762e-08,3.898994623455743e-08,5.892782150780845e-08,1633.411,5.260080357992559e-06
,,,,9.576746025969041e-06,,,,6.166110956458546e-06,7.61189595028923e-05,9.600701752147118e-06,3.388955268832786e-07,1.1746797123908854e-08,3.492871525629376e-08,5.444706383407268e-08,1631.483,1.0426357163265663e-05
,,,,1.7386619309703058e-05,,,,1.2247316527719166e-05,8.079194233327603e-05,3.232470774266331e-06,1.0402086658751107e-07,1.0106845710538436e-08,3.1473090302500885e-08,5.046474131162483e-08,1629.554,1.8486148807822414e-05
,,,,2.140283421086922e-05,,,,2.2755954409776188e-05,7.400105046021394e-05,8.491050238030679e-07,2.8330284707323436e-08,8.786395981492117e-09,2.850529014823626e-08,4.690544551151463e-08,1627.626,2.033623513690508e-05
,,,,1.4568108430943769e-05,,,,3.789505216053662e-05,5.8629732856918906e-05,1.773155669595743e-07,6.85557006177098e-09,7.708758259243511e-09,2.5940062127588215e-08,4.3714074354541536e-08,1625.698,1.5661059561225822e-05
,,,,1.0023211551295506e-05,,,,5.533844307117042e-05,4.044770669283741e-05,3.208162166928068e-08,1.4718450217897808e-09,6.81708999812774e-09,2.3705457689391327e-08,4.083839082992835e-08,1623.769,9.462375015306337e-06
,,,,1.259444694677466e-05,,,,7.00422440485751e-05,2.4655735679246306e-05,7.2744246495117434e-09,2.808107860413821e-10,6.071739451669018e-09,2.1748893903567874e-08,3.8240435336205045e-08,1621.841,8.756413725341498e-06
,,,,1.9704877719986583e-05,,,,7.645052892609537e-05,1.3635989421104948e-05,3.4099077510433986e-09,4.753718861888878e-11,5.441787844442244e-09,2.002432554618019e-08,3.5882986966857384e-08,1619.912,1.808418156037458e-05
,,,,2.932384213228826e-05,,,,7.18310468984289e-05,7.177349382785822e-06,2.499483011947063e-09,7.161902262437451e-12,4.9051479341987384e-09,1.8497963809123474e-08,3.373924186495356e-08,1617.984,3.195995836564739e-05
,,,,3.883293838587142e-05,,,,5.8162893348545126e-05,3.851505753347961e-06,2.0314886039593045e-09,9.66262627326203e-13,4.443827336526363e-09,1.7139177437457474e-08,3.1782028023986175e-08,1616.055,4.103446429591852e-05
,,,,4.486497624639962e-05,,,,4.078222548402038e-05,2.2618325401688323e-06,1.6983456155891166e-09,1.2434671871200638e-13,4.044774352760173e-09,1.5925500226146414e-08,2.99920143146386e-08,1614.127,4.4316741101191775e-05
,,,,4.493052360246569e-05,,,,2.5002145668496565e-05,1.4967700236615173e-06,1.4435460585021313e-09,2.19489960466006e-14,3.6969330470246587e-09,1.4835876563655257e-08,2.8348941880873127e-08,1612.198,4.3506508936224605e-05
,,,,3.895705932261573e-05,,,,1.3678954675420377e-05,1.094772058315939e-06,1.243390878063979e-09,1.0141305988667338e-14,3.392212636461437e-09,1.385493111811676e-08,2.6838611426005432e-08,1610.27,3.7878928598640756e-05
,,,,2.9318601911938456e-05,,,,6.936543182585623e-06,8.541353643755988e-07,1.0828896756914228e-09,8.246715504010923e-15,3.1236389164018875e-09,1.2968215881380575e-08,2.5446329395141873e-08,1608.341,2.951010119557837e-05
,,,,1.9301230907081193e-05,,,,3.478660855178698e-06,6.928856750571744e-07,9.51983953636626e-10,7.409445499091185e-15,2.885601221219627e-09,1.216363247541747e-08,2.4159416997586196e-08,1606.413,2.0739616096089675e-05
,,,,1.1284681217845604e-05,,,,1.8790773277538557e-06,5.766086750502488e-07,8.438224195219536e-10,6.752822356423962e-15,2.6738550766870144e-09,1.1432072688696156e-08,2.296866886640468e-08,1604.484,1.2698074407312903e-05
,,,,6.043714174537786e-06,,,,1.1595601634495908e-06,4.886983989893728e-07,7.532721773654875e-10,6.1852833478268456e-15,2.484479752412171e-09,1.076428327034883e-08,2.186358618951328e-08,1602.556,6.223375022109973e-06
,,,,3.129881034732261e-06,,,,8.137929893514786e-07,4.2021273123765705e-07,6.767406848251048e-10,5.687971946479895e-15,2.3146037718508264e-09,1.0153674014121265e-08,2.0837156548190558e-08,1600.627,0.0
