amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,wavenumber,spectra
,,,,7.152639046956728e-05,,,,3.9002292435452095e-13,2.0979657569292535e-06,2.8436365587342455e-06,4.685255846682777e-05,1.8814706579421938e-06,1673.909,6.483832037309287e-05
,,,,6.540141347547724e-05,,,,4.280753976013301e-13,2.519869262464458e-06,6.472682933506109e-06,5.1117269820260846e-05,5.403182873762978e-07,1671.981,6.6744037673869e-05
,,,,6.280177900560973e-05,,,,4.926958999798052e-13,3.1295137203767586e-06,1.45782715845275e-05,3.701462251360219e-05,1.289613992090653e-07,1670.052,7.155220313368718e-05
,,,,6.774460800558908e-05,,,,6.836781431242358e-13,4.087545235348476e-06,2.8295148597962215e-05,1.779736625607615e-05,2.567809108332223e-08,1668.124,7.513192043446398e-05
,,,,8.346897800569673e-05,,,,1.5016433747570577e-12,5.728398547637032e-06,4.401951202969589e-05,5.6810636832218254e-06,4.311806067784495e-09,1666.195,8.295210970380633e-05
,,,,0.00011110463069925627,,,,5.274042546571364e-12,8.701570374051933e-06,5.315455743179113e-05,1.2083208080969002e-06,6.601668221027966e-10,1664.267,0.00010372420795696309
,,,,0.00014844178808191832,,,,2.2044380128867625e-11,1.4165772671762002e-05,4.931768262798144e-05,1.7349110213973876e-07,1.341603027445899e-10,1662.338,0.00014206796865487718
,,,,0.00018926801987116253,,,,9.172732858633795e-11,2.3901871364486276e-05,3.5298420121389595e-05,1.8903190969794016e-08,6.35872911456924e-11,1660.41,0.0001916029240508916
,,,,0.00022452216440391843,,,,3.6116656793088476e-10,4.020668920842396e-05,1.989270001929355e-05,3.1681994522671115e-09,4.929748705560606e-11,1658.481,0.0002321381133202346
,,,,0.0002449018342764394,,,,1.326557312447907e-09,6.520727312576471e-05,9.302226076973885e-06,1.6606946904697695e-09,4.211937711601119e-11,1656.553,0.00024763806871624884
,,,,0.0002444974450848596,,,,4.536877719141318e-09,9.97080554821212e-05,4.020062185353787e-06,1.2543652332171967e-09,3.6698644393423707e-11,1654.625,0.00023946492887416766
