,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
184,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
