,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
22,Flinsbach,albumins,2.63,0.3,,2.63 ± 0.3,,globulins,1.86,0.01,1.86 ± 0.01,,,gliadins,5.61,0.34,5.61 ± 0.34,,,glutenins,3.3,0.33,3.3 ± 0.33,,13.4,0.56,13.4 ± 0.56,,14.5,,,,
23,Flinsbach,albumins,2.99,0.16,,2.99 ± 0.16,,globulins,2.02,0,2.02 ± 0,,,gliadins,5.8,0.22,5.8 ± 0.22,,,glutenins,3.44,0.21,3.44 ± 0.21,,14.25,0.34,14.25 ± 0.34,,14.4,,,,
24,Flinsbach,albumins,3.03,0.19,,3.03 ± 0.19,,globulins,2.04,0.05,2.04 ± 0.05,,,gliadins,5.89,0.25,5.89 ± 0.25,,,glutenins,4.1,0.46,4.1 ± 0.46,,15.06,0.56,15.06 ± 0.56,,14.4,,,,
25,Flinsbach,albumins,2.75,0.21,,2.75 ± 0.21,,globulins,1.75,0.11,1.75 ± 0.11,,,gliadins,5.54,1.01,5.54 ± 1.01,,,glutenins,4.4,0.33,4.4 ± 0.33,,14.44,1.09,14.44 ± 1.09,,13.5,,,,
26,Flinsbach,albumins,2.94,0.05,,2.94 ± 0.05,,globulins,2.17,0.14,2.17 ± 0.14,,,gliadins,5.96,0.42,5.96 ± 0.42,,,glutenins,3.84,0.49,3.84 ± 0.49,,14.91,0.66,14.91 ± 0.66,,14.3,,,,
27,Flinsbach,albumins,2.93,0.06,,2.93 ± 0.06,,globulins,2.04,0.04,2.04 ± 0.04,,,gliadins,5.39,0.65,5.39 ± 0.65,,,glutenins,2.56,0.31,2.56 ± 0.31,,12.92,0.72,12.92 ± 0.72,,12.8,,,,
28,Flinsbach,albumins,3.01,0.22,,3.01 ± 0.22,,globulins,2.12,0.09,2.12 ± 0.09,,,gliadins,5.49,0.58,5.49 ± 0.58,,,glutenins,3.48,0.72,3.48 ± 0.72,,14.1,0.95,14.1 ± 0.95,,13.1,,,,
29,Flinsbach,albumins,3.25,0.08,,3.25 ± 0.08,,globulins,1.71,0.04,1.71 ± 0.04,,,gliadins,5.72,0.32,5.72 ± 0.32,,,glutenins,3.35,0.6,3.35 ± 0.6,,14.03,0.69,14.03 ± 0.69,,12.7,,,,
30,Flinsbach,albumins,2.97,0.17,,2.97 ± 0.17,,globulins,2.34,0.06,2.34 ± 0.06,,,gliadins,5.71,0.17,5.71 ± 0.17,,,glutenins,3.52,0.33,3.52 ± 0.33,,14.54,0.41,14.54 ± 0.41,,13.4,,,,
31,Reichersberg,albumins,2.48,0.09,,2.48 ± 0.09,,globulins,0.82,0.08,0.82 ± 0.08,,,gliadins,5.09,0.45,5.09 ± 0.45,,,glutenins,1.32,0.12,1.32 ± 0.12,,9.71,0.48,9.71 ± 0.48,,8.8,,,,
32,Reichersberg,albumins,2.03,0.08,,2.03 ± 0.08,,globulins,0.97,0.05,0.97 ± 0.05,,,gliadins,5.48,0.03,5.48 ± 0.03,,,glutenins,1.6,0.07,1.6 ± 0.07,,10.08,0.12,10.08 ± 0.12,,9.3,,,,
33,Reichersberg,albumins,1.81,0.12,,1.81 ± 0.12,,globulins,0.98,0.04,0.98 ± 0.04,,,gliadins,4.73,0.09,4.73 ± 0.09,,,glutenins,1.29,0.1,1.29 ± 0.1,,8.81,0.18,8.81 ± 0.18,,8.1,,,,
34,Reichersberg,albumins,1.95,0.03,,1.95 ± 0.03,,globulins,0.96,0.05,0.96 ± 0.05,,,gliadins,5.28,0.11,5.28 ± 0.11,,,glutenins,1.46,0.08,1.46 ± 0.08,,9.65,0.15,9.65 ± 0.15,,8.5,,,,
35,Reichersberg,albumins,1.98,0.17,,1.98 ± 0.17,,globulins,0.93,0.01,0.93 ± 0.01,,,gliadins,5.46,0.14,5.46 ± 0.14,,,glutenins,2.24,0.01,2.24 ± 0.01,,10.61,0.22,10.61 ± 0.22,,8.3,,,,
36,Reichersberg,albumins,2.52,0.16,,2.52 ± 0.16,,globulins,0.41,0.02,0.41 ± 0.02,,,gliadins,5.06,0.48,5.06 ± 0.48,,,glutenins,1.79,0.32,1.79 ± 0.32,,9.78,0.6,9.78 ± 0.6,,8.7,,,,
37,Reichersberg,albumins,2.15,0.13,,2.15 ± 0.13,,globulins,0.76,0.02,0.76 ± 0.02,,,gliadins,4.92,0.36,4.92 ± 0.36,,,glutenins,1.56,0.03,1.56 ± 0.03,,9.39,0.38,9.39 ± 0.38,,8.3,,,,
