Wavenumbers [1/cm],Absorbance
3997.712,-0.000648011
3995.783,-0.00064543
3993.855,-0.000639804
3991.926,-0.000635171
3989.998,-0.000632268
3988.069,-0.000628391
3986.141,-0.000622645
3984.212,-0.000621222
3982.284,-0.000624402
3980.355,-0.000629784
3978.427,-0.000634791
3976.499,-0.000637593
3974.57,-0.000640064
3972.642,-0.000644693
3970.713,-0.000648887
3968.785,-0.000650621
3966.856,-0.00065192
3964.928,-0.000652243
3962.999,-0.000648544
3961.071,-0.00064134
3959.142,-0.000632852
3957.214,-0.000623962
3955.285,-0.000617346
3953.357,-0.000615903
3951.428,-0.000619316
3949.5,-0.0006264
3947.572,-0.0006349
3945.643,-0.000641306
3943.715,-0.000644378
3941.786,-0.000645166
3939.858,-0.000644076
3937.929,-0.000641399
3936.001,-0.000638739
3934.072,-0.000637199
3932.144,-0.000636081
3930.215,-0.000634597
3928.287,-0.000631481
3926.358,-0.000625342
3924.43,-0.00061771
3922.501,-0.000612146
3920.573,-0.00061037
3918.645,-0.000611041
3916.716,-0.000613588
3914.788,-0.000618893
3912.859,-0.000625682
3910.931,-0.000631462
3909.002,-0.000633686
3907.074,-0.000629813
3905.145,-0.000622295
3903.217,-0.000616663
3901.288,-0.000613349
3899.36,-0.000609788
3897.431,-0.000606788
3895.503,-0.000606283
3893.574,-0.000609007
3891.646,-0.000615758
3889.718,-0.000623569
3887.789,-0.000626467
3885.861,-0.000624563
3883.932,-0.000623197
3882.004,-0.00062458
3880.075,-0.000628105
3878.147,-0.000631854
3876.218,-0.00063383
3874.29,-0.000634876
3872.361,-0.00063576
3870.433,-0.000633643
3868.504,-0.000627123
3866.576,-0.000620224
3864.647,-0.000617833
3862.719,-0.000619871
3860.791,-0.000622612
3858.862,-0.000622842
3856.934,-0.000618757
3855.005,-0.000611646
3853.077,-0.000604891
3851.148,-0.000601236
3849.22,-0.000601927
3847.291,-0.000606639
3845.363,-0.000614092
3843.434,-0.000621775
3841.506,-0.000627283
3839.577,-0.000630143
3837.649,-0.000630666
3835.72,-0.000629435
3833.792,-0.000627908
3831.864,-0.000627016
3829.935,-0.00062617
3828.007,-0.000624719
3826.078,-0.000623002
3824.15,-0.000620937
3822.221,-0.000618023
3820.293,-0.000614119
3818.364,-0.000609471
3816.436,-0.000604778
3814.507,-0.000600824
3812.579,-0.000599796
3810.65,-0.000603455
3808.722,-0.000609369
3806.793,-0.00061449
3804.865,-0.000618564
3802.937,-0.000622203
3801.008,-0.00062597
3799.08,-0.000630574
3797.151,-0.000635914
3795.223,-0.000640974
3793.294,-0.000646204
3791.366,-0.00065128
3789.437,-0.000653143
3787.509,-0.000652535
3785.58,-0.00065251
3783.652,-0.000652351
3781.723,-0.000652295
3779.795,-0.000654641
3777.866,-0.000657633
3775.938,-0.000657622
3774.01,-0.000654823
3772.081,-0.000651326
3770.153,-0.000648032
3768.224,-0.000645401
3766.296,-0.000644107
3764.367,-0.000645186
3762.439,-0.000649358
3760.51,-0.000654815
3758.582,-0.000657167
3756.653,-0.000654576
3754.725,-0.000649173
3752.796,-0.000640598
3750.868,-0.000626647
3748.939,-0.000608936
3747.011,-0.000591566
3745.083,-0.000577209
3743.154,-0.000563913
3741.226,-0.000547452
3739.297,-0.000528037
