amplitudes,centers,sigmas,gammas,y_fit,r_squared,r_squared_adj,chi2_red,area_0,area_1,area_2,area_3,area_4,wavenumber,spectra
0.0025633241659553936,1675.3876874422022,6.380382753950172,1.3714373849713887e-09,3.77225907848358e-06,0.9979044750352649,0.9964076714890255,6.488147952554539e-07,2.0475150918429938e-16,1.0169207449716198e-08,4.109484642759447e-10,1.3083303125309987e-06,6.228020352774298e-06,1693.194,0.0
0.0011600639915335612,1666.8781503028772,4.746810253187022,0.11899548963933432,7.801029990646163e-06,,,,2.160086353720062e-16,1.0798808816443189e-08,4.4435145692673695e-10,1.470392684382325e-06,1.4210757407562564e-05,1691.265,2.38463013919909e-06
0.0035139487382576592,1654.0000063789437,6.984765529759507,0.0009907267755170047,1.5293980839538713e-05,,,,2.282224909843098e-16,1.14887544642721e-08,4.820963399858354e-10,1.664295129984248e-06,2.8453601650787923e-05,1689.337,9.22242279208792e-06
0.0007830272746193917,1634.4410678628042,3.2508796573261587,6.030588403667265,2.7852772364698996e-05,,,,2.4151996667579653e-16,1.2247878868679861e-08,5.250523115033581e-10,1.899156084760993e-06,4.987661301803627e-05,1687.408,2.4090052931286803e-05
0.00161746762560679,1613.449427167126,5.223468855621739,0.03199768840159579,4.6675219535772126e-05,,,,2.5601904568646547e-16,1.3084921875012431e-08,5.742670637505076e-10,2.186943197413161e-06,7.639763937070587e-05,1685.48,4.895913129846204e-05
,,,,7.176886415318893e-05,,,,2.7188768518842923e-16,1.401200909787212e-08,6.314545521986849e-10,2.54502519676381e-06,0.00010223981402688223,1683.552,7.774320966563665e-05
,,,,0.00010128335791307911,,,,2.8928750326374907e-16,1.5041542750206288e-08,7.000540794447379e-10,2.997359612844128e-06,0.00011947148405666752,1681.623,0.00010574669694769275
,,,,0.00013156542441583108,,,,3.0844528127790356e-16,1.619057935088959e-08,7.90924689117148e-10,3.5798942177219595e-06,0.00012190764380638258,1679.695,0.0001310929657910576
,,,,0.000158494007774852,,,,3.295868780330565e-16,1.7477164544243233e-08,9.44314715735344e-10,4.344760163799015e-06,0.00010861876866055358,1677.766,0.00015336566735882795
,,,,0.00017919663710485342,,,,3.530259429870752e-16,1.8925987333743315e-08,1.3148133307525738e-09,5.372419020133167e-06,8.450275957621822e-05,1675.838,0.00017516000763076464
,,,,0.0001932240194765069,,,,3.790904449532981e-16,2.0564095294661595e-08,2.4633244270250125e-09,6.781909187081914e-06,5.7429977001388945e-05,1673.909,0.00019430392348424903
,,,,0.00020167072055659634,,,,4.082891655675382e-16,2.2428456449623e-08,6.2874933906264005e-09,8.74961282741302e-06,3.409892543910518e-05,1671.981,0.00020523802566094782
,,,,0.00020526858322785868,,,,4.41853157169373e-16,2.4561085434339356e-08,1.867171061213815e-08,1.1501407824878074e-05,1.7715590245292535e-05,1670.052,0.00020661551294300448
,,,,0.0002035520985406964,,,,4.885551901683153e-16,2.7019647008909602e-08,5.640792051638235e-08,1.5262564281183436e-05,8.06691683152721e-06,1668.124,0.00020078985321494194
,,,,0.0001965878731657179,,,,6.283452948034205e-16,2.987234031368617e-08,1.6306975149607823e-07,2.0073060753569184e-05,3.241105417136299e-06,1666.195,0.00019354495954461673
,,,,0.000187324842578744,,,,1.5657290376906691e-15,3.321191463357914e-08,4.4188180214936156e-07,2.5520639171271496e-05,1.1668683375776767e-06,1664.267,0.00018878096648321935
,,,,0.00018122870864299627,,,,8.99231935647447e-15,3.716106515411227e-08,1.1147710915892467e-06,3.0546386866754034e-05,3.933152558442841e-07,1662.338,0.00018575321567003726
,,,,0.00018272712809536826,,,,6.465334455091654e-14,4.187723537517998e-08,2.6090432766342725e-06,3.367613981669385e-05,1.3918034840435603e-07,1660.41,0.0001846213654657839
,,,,0.00019157447120003515,,,,4.473925036738555e-13,4.7586799930714436e-08,5.664465023729654e-06,3.3786865018341195e-05,6.239427228205391e-08,1658.481,0.0001870859956049832
,,,,0.00020250681932163804,,,,2.84422806322422e-12,5.459546384898615e-08,1.1394708705005247e-05,3.0835902097845546e-05,3.869770106562073e-08,1656.553,0.00019466605016263432
,,,,0.00020827008589226448,,,,1.6537681720646168e-11,6.336684534148285e-08,2.124996725748539e-05,2.5891341114319157e-05,2.952885550942453e-08,1654.625,0.00020476396186314198
,,,,0.00020339175505298124,,,,8.770153712165244e-11,7.460937969616381e-08,3.6712266699464505e-05,2.043174698744764e-05,2.447810198480984e-08,1652.696,0.00020695049676424537
,,,,0.00018642764173350672,,,,4.2485883269530757e-10,8.967100831193302e-08,5.878855243189358e-05,1.5555669357473063e-05,2.0925723713511586e-08,1650.768,0.00019236674179808747
,,,,0.00015993592656576787,,,,1.8769992087157417e-09,1.1191935680518696e-07,8.721335154891215e-05,1.172313827547024e-05,1.8170496315375135e-08,1648.839,0.00016361351479442959
,,,,0.00012899419461014544,,,,7.574123594410117e-09,1.528299940656482e-07,0.00011990994633806528,8.907894722200769e-06,1.5949432219339325e-08,1646.911,0.00012972071220922416
,,,,9.906845667671167e-05,,,,2.7875383534675317e-08,2.5440655499820176e-07,0.00015274383352778496,6.89568584467845e-06,1.412525477159019e-08,1644.982,9.785843758651757e-05
,,,,7.445524338022478e-05,,,,9.369499200671341e-08,5.590093761547921e-07,0.0001803084422275895,5.453891144573236e-06,1.260399318248749e-08,1643.054,7.234468262035993e-05
,,,,5.724318887013024e-05,,,,2.8725861532542984e-07,1.4743676458757407e-06,0.00019721360009764067,4.405206997220581e-06,1.1321696918806475e-08,1641.125,5.552240799765334e-05
,,,,4.723422061033718e-05,,,,8.04258430675203e-07,3.952037696076718e-06,0.0001998785062190689,3.6250548369900543e-06,1.0228709453604841e-08,1639.197,4.6736272079115715e-05
,,,,4.232390681199346e-05,,,,2.0540947581611876e-06,9.696642064576992e-06,0.0001877144337357305,3.0323589925412366e-06,9.289770628112337e-09,1637.268,4.2993997456410206e-05
,,,,3.956131156167612e-05,,,,4.788391953889888e-06,2.084599588731125e-05,0.00016335913666795657,2.572470330635424e-06,8.476360242014771e-09,1635.34,4.1099052014061834e-05
,,,,3.6466240741761e-05,,,,1.0192085685278739e-05,3.8599890890671037e-05,0.00013171855001345363,2.208835113114269e-06,7.76639285058952e-09,1633.411,3.803772977230676e-05
,,,,3.2091634288333995e-05,,,,1.97924905764298e-05,6.108699485281186e-05,9.842519213953773e-05,1.916887640905743e-06,7.143433311143272e-09,1631.483,3.20523081394829e-05
,,,,2.716260122719784e-05,,,,3.5091411372622686e-05,8.240955635486898e-05,6.813843224042565e-05,1.6788495023941635e-06,6.593108432501518e-09,1629.554,2.5325271612014867e-05
,,,,2.350710826314359e-05,,,,5.6768364050465374e-05,9.461157751305297e-05,4.371934325656269e-05,1.4824834319017268e-06,6.10491373511578e-09,1627.626,2.1851754741094598e-05
,,,,2.3412908680724495e-05,,,,8.383662430243126e-05,9.240425982812696e-05,2.5987064515876857e-05,1.3184805851873583e-06,5.669309073985786e-09,1625.698,2.3157285489221207e-05
,,,,2.926023086665894e-05,,,,0.00011298153956426106,7.67832717022331e-05,1.4318231574232166e-05,1.180261063519171e-06,5.2793236131637575e-09,1623.769,3.063858229508817e-05
,,,,4.287725421676674e-05,,,,0.00013898307226052584,5.431166273879634e-05,7.3084678325456025e-06,1.0625893274672068e-06,4.928397261351458e-09,1621.841,4.5397684471786595e-05
,,,,6.423491360857163e-05,,,,0.00015602844322947196,3.277047993275388e-05,3.4587898129501814e-06,9.616947423632787e-07,4.611758967605473e-09,1619.912,6.526636223003413e-05
,,,,8.98954193973689e-05,,,,0.00015987671259119648,1.6924207806592036e-05,1.5169389175657137e-06,8.744530273845018e-07,4.324762114684652e-09,1617.984,8.803451202577993e-05
,,,,0.00011298195030394215,,,,0.00014951860610325384,7.555262653993201e-06,6.174879181955899e-07,7.985870439027784e-07,4.064055506602195e-09,1616.055,0.00011133342787926458
,,,,0.000125504519528453,,,,0.0001276155771771868,2.980384376980616e-06,2.3349806584269713e-07,7.321385322548075e-07,3.826263566149262e-09,1614.127,0.00012631610148453515
,,,,0.00012248458526663058,,,,9.942185945221814e-05,1.1017011502849113e-06,8.251714053105386e-08,6.736711901630585e-07,3.60897988193842e-09,1612.198,0.00012352073162373472
,,,,0.000104799482687568,,,,7.068338602196107e-05,4.325397365321654e-07,2.762265606369204e-08,6.219060406616034e-07,3.40969797040988e-09,1610.27,0.00010420745284805239
,,,,7.859824175731382e-05,,,,4.587369263983219e-05,2.1325021293942175e-07,9.146494224752903e-09,5.759035320964311e-07,3.2266566793321424e-09,1608.341,7.754779727296574e-05
,,,,5.178854203421897e-05,,,,2.7174053139777962e-05,1.375122115910321e-07,3.3301342242077935e-09,5.348188362759808e-07,3.0580428298121526e-09,1606.413,5.2100470878236196e-05
,,,,3.012986763180465e-05,,,,1.4687257090572814e-05,1.0428707023115094e-07,1.5767609273561834e-09,4.97957623720952e-07,2.9022940864405394e-09,1604.484,3.194402958886366e-05
,,,,1.5692393252434267e-05,,,,7.247689499086837e-06,8.475336791764978e-08,1.0349218533160061e-09,4.647939280091038e-07,2.758273779257158e-09,1602.556,1.567277462270535e-05
,,,,7.54693082142404e-06,,,,3.262968424924381e-06,7.101264807203311e-08,8.337881525205625e-10,4.3481952429831573e-07,2.624693036329633e-09,1600.627,0.0
