Wavenumbers [1/cm],Absorbance
3997.712,-5.35E-05
3995.783,-6.43E-05
3993.855,-7.09E-05
3991.926,-7.02E-05
3989.998,-8.16E-05
3988.069,-9.96E-05
3986.141,-0.000106896
3984.212,-0.000101565
3982.284,-9.04E-05
3980.355,-8.00E-05
3978.427,-7.13E-05
3976.499,-7.31E-05
3974.57,-8.40E-05
3972.642,-9.04E-05
3970.713,-9.89E-05
3968.785,-0.000108656
3966.856,-0.000101151
3964.928,-8.64E-05
3962.999,-8.26E-05
3961.071,-8.45E-05
3959.142,-8.34E-05
3957.214,-7.52E-05
3955.285,-6.68E-05
3953.357,-6.90E-05
3951.428,-7.13E-05
3949.5,-6.68E-05
3947.572,-6.30E-05
3945.643,-6.14E-05
3943.715,-6.86E-05
3941.786,-9.31E-05
3939.858,-0.000122734
3937.929,-0.000135311
3936.001,-0.000127496
3934.072,-0.000117921
3932.144,-0.000118697
3930.215,-0.000121751
3928.287,-0.000110364
3926.358,-8.53E-05
3924.43,-7.09E-05
3922.501,-7.83E-05
3920.573,-9.10E-05
3918.645,-9.65E-05
3916.716,-9.91E-05
3914.788,-0.000105188
3912.859,-0.000115022
3910.931,-0.000121285
3909.002,-0.00012263
3907.074,-0.000128324
3905.145,-0.000134897
3903.217,-0.000131584
3901.288,-0.000126668
3899.36,-0.000127289
3897.431,-0.000130135
3895.503,-0.000133396
3893.574,-0.000131015
3891.646,-0.00012615
3889.718,-0.000128324
3887.789,-0.000126823
3885.861,-0.000116937
3883.932,-0.000118128
3882.004,-0.000131067
3880.075,-0.000131119
3878.147,-0.000118542
3876.218,-0.000117248
3874.29,-0.000124442
3872.361,-0.00012496
3870.433,-0.000131947
3868.504,-0.00015032
3866.576,-0.00016155
3864.647,-0.000158652
3862.719,-0.000144471
3860.791,-0.000126512
3858.862,-0.000112848
3856.934,-0.000105964
3855.005,-0.00010995
3853.077,-0.000120094
3851.148,-0.000130083
3849.22,-0.000140849
3847.291,-0.000143022
3845.363,-0.000132568
3843.434,-0.000125788
3841.506,-0.000128893
3839.577,-0.00012879
3837.649,-0.000123562
3835.72,-0.000134327
3833.792,-0.000162068
3831.864,-0.000176869
3829.935,-0.000169417
3828.007,-0.000160308
3826.078,-0.000157358
3824.15,-0.00015151
3822.221,-0.000141677
3820.293,-0.000136915
3818.364,-0.000154253
3816.436,-0.000187995
3814.507,-0.000201864
3812.579,-0.000189237
3810.65,-0.000176351
3808.722,-0.000176506
3806.793,-0.000186236
3804.865,-0.000198138
