Wavenumbers [1/cm],Absorbance
3997.712,0.000134058
3995.783,0.000116036
3993.855,0.000112619
3991.926,0.000122665
3989.998,0.000119377
3988.069,0.000112101
3986.141,0.000121319
3984.212,0.000133644
3982.284,0.000142836
3980.355,0.000153531
3978.427,0.000159073
3976.499,0.000153479
3974.57,0.000138046
3972.642,0.000124037
3970.713,0.000116943
3968.785,0.000116477
3966.856,0.000126912
3964.928,0.000132013
3962.999,0.000114819
3961.071,9.63E-05
3959.142,9.73E-05
3957.214,0.000101796
3955.285,0.000100139
3953.357,0.000104799
3951.428,0.000109667
3949.5,0.000102935
3947.572,9.20E-05
3945.643,8.19E-05
3943.715,7.48E-05
3941.786,7.88E-05
3939.858,9.55E-05
3937.929,0.000110599
3936.001,0.000111272
3934.072,0.000110159
3932.144,0.000117305
3930.215,0.000117901
3928.287,0.00011034
3926.358,0.000102909
3924.43,9.78E-05
3922.501,9.66E-05
3920.573,9.48E-05
3918.645,9.61E-05
3916.716,0.000102546
3914.788,9.83E-05
3912.859,8.83E-05
3910.931,9.44E-05
3909.002,0.000110418
3907.074,0.000110262
3905.145,9.31E-05
3903.217,7.86E-05
3901.288,7.16E-05
3899.36,7.06E-05
3897.431,7.75E-05
3895.503,8.26E-05
3893.574,7.74E-05
3891.646,6.96E-05
3889.718,6.13E-05
3887.789,4.38E-05
3885.861,3.54E-05
3883.932,5.70E-05
3882.004,7.75E-05
3880.075,6.89E-05
3878.147,5.18E-05
3876.218,4.59E-05
3874.29,4.77E-05
3872.361,4.80E-05
3870.433,4.13E-05
3868.504,3.37E-05
3866.576,3.81E-05
3864.647,5.22E-05
3862.719,5.04E-05
3860.791,3.07E-05
3858.862,2.02E-05
3856.934,2.17E-05
3855.005,2.20E-05
3853.077,2.56E-05
3851.148,3.66E-05
3849.22,4.66E-05
3847.291,5.40E-05
3845.363,6.23E-05
3843.434,6.98E-05
3841.506,6.64E-05
3839.577,4.47E-05
3837.649,2.76E-05
3835.72,3.74E-05
3833.792,5.48E-05
3831.864,5.75E-05
3829.935,5.57E-05
3828.007,5.94E-05
3826.078,5.52E-05
3824.15,4.13E-05
3822.221,3.04E-05
3820.293,2.54E-05
3818.364,2.59E-05
3816.436,2.78E-05
3814.507,3.19E-05
3812.579,3.50E-05
3810.65,2.75E-05
3808.722,1.77E-05
3806.793,1.69E-05
3804.865,2.30E-05
3802.937,2.81E-05
3801.008,2.76E-05
3799.08,2.51E-05
3797.151,2.02E-05
3795.223,1.25E-05
3793.294,8.41E-06
3791.366,1.40E-05
3789.437,1.91E-05
3787.509,1.58E-05
3785.58,1.63E-05
3783.652,1.69E-05
3781.723,8.13E-06
3779.795,-1.14E-06
3777.866,-1.08E-05
3775.938,-1.78E-05
3774.01,-1.48E-05
3772.081,-6.37E-06
3770.153,7.02E-06
3768.224,2.27E-05
3766.296,2.85E-05
3764.367,1.64E-05
3762.439,-4.81E-06
3760.51,-1.76E-05
3758.582,-1.68E-05
3756.653,-1.42E-05
3754.725,-2.14E-05
3752.796,-3.60E-05
3750.868,-5.64E-05
3748.939,-8.98E-05
3747.011,-0.000133085
3745.083,-0.000170193
3743.154,-0.000206107
3741.226,-0.000266906
3739.297,-0.000355321
3737.369,-0.000460371
3735.44,-0.000579718
3733.512,-0.00070084
3731.583,-0.000797952
3729.655,-0.000849678
3727.726,-0.000866419
3725.798,-0.00086151
3723.869,-0.000830456
3721.941,-0.000769684
3720.012,-0.000659694
3718.084,-0.000495537
3716.156,-0.000342802
3714.227,-0.000298725
3712.299,-0.000387237
3710.37,-0.000529408
3708.442,-0.000651785
3706.513,-0.000747719
3704.585,-0.000826219
3702.656,-0.000875306
3700.728,-0.000889359
3698.799,-0.000891632
3696.871,-0.000887137
3694.942,-0.000861872
3693.014,-0.00083893
3691.085,-0.000841772
3689.157,-0.00083769
3687.229,-0.000800329
3685.3,-0.000762552
3683.372,-0.00076648
3681.443,-0.000805859
3679.515,-0.000844201
3677.586,-0.000871276
3675.658,-0.000875667
3673.729,-0.000854328
3671.801,-0.00085531
3669.872,-0.000887396
3667.944,-0.000924077
3666.015,-0.000978525
3664.087,-0.001044329
3662.158,-0.001085284
3660.23,-0.001105528
3658.302,-0.001135271
3656.373,-0.001172293
3654.445,-0.001199709
3652.516,-0.00123337
3650.588,-0.001293303
3648.659,-0.001363859
3646.731,-0.001419336
3644.802,-0.001456385
3642.874,-0.00148466
3640.945,-0.001529133
3639.017,-0.001624358
3637.088,-0.001754265
3635.16,-0.00184444
3633.231,-0.001871813
3631.303,-0.001907381
3629.375,-0.00198701
3627.446,-0.002062246
3625.518,-0.002086772
3623.589,-0.002058897
3621.661,-0.00200984
3619.732,-0.001962221
