Wavenumbers [1/cm],Absorbance
3997.712,0.000118936
3995.783,0.000124452
3993.855,0.000121526
3991.926,0.000119998
3989.998,0.000126083
3988.069,0.000128439
3986.141,0.000122769
3984.212,0.000123053
3982.284,0.000132764
3980.355,0.000134524
3978.427,0.000121422
3976.499,0.00010555
3974.57,9.04E-05
3972.642,8.57E-05
3970.713,0.000106456
3968.785,0.0001302
3966.856,0.000128206
3964.928,0.000115027
3962.999,0.000112437
3961.071,0.000113395
3959.142,0.000109796
3957.214,0.000107854
3955.285,0.000105446
3953.357,9.07E-05
3951.428,7.43E-05
3949.5,8.31E-05
3947.572,0.000111169
3945.643,0.000122121
3943.715,0.000113499
3941.786,0.00011368
3939.858,0.000119661
3937.929,0.000112903
3936.001,0.000101433
3934.072,1.00E-04
3932.144,0.00010643
3930.215,0.000107828
3928.287,9.74E-05
3926.358,8.39E-05
3924.43,7.55E-05
3922.501,7.22E-05
3920.573,7.13E-05
3918.645,6.70E-05
3916.716,6.57E-05
3914.788,7.76E-05
3912.859,8.75E-05
3910.931,8.17E-05
3909.002,7.52E-05
3907.074,7.55E-05
3905.145,6.77E-05
3903.217,5.55E-05
3901.288,5.55E-05
3899.36,6.45E-05
3897.431,7.17E-05
3895.503,7.20E-05
3893.574,6.36E-05
3891.646,5.32E-05
3889.718,4.62E-05
3887.789,4.10E-05
3885.861,3.68E-05
3883.932,3.98E-05
3882.004,5.52E-05
3880.075,7.30E-05
3878.147,7.73E-05
3876.218,6.55E-05
3874.29,4.80E-05
3872.361,3.30E-05
3870.433,2.48E-05
3868.504,2.60E-05
3866.576,3.01E-05
3864.647,3.15E-05
3862.719,3.19E-05
3860.791,2.74E-05
3858.862,2.02E-05
3856.934,2.08E-05
3855.005,2.31E-05
3853.077,2.35E-05
3851.148,3.07E-05
3849.22,3.94E-05
3847.291,4.45E-05
3845.363,4.66E-05
3843.434,4.01E-05
3841.506,3.55E-05
3839.577,4.90E-05
3837.649,6.63E-05
3835.72,6.39E-05
3833.792,4.03E-05
3831.864,1.13E-05
3829.935,3.11E-07
3828.007,1.27E-05
3826.078,2.76E-05
3824.15,2.99E-05
3822.221,2.26E-05
3820.293,1.50E-05
3818.364,7.64E-06
3816.436,-3.37E-06
3814.507,-9.32E-06
3812.579,-5.80E-06
3810.65,-1.92E-06
3808.722,-1.11E-05
3806.793,-3.40E-05
3804.865,-4.83E-05
3802.937,-4.18E-05
3801.008,-2.85E-05
3799.08,-1.91E-05
3797.151,-1.29E-05
3795.223,-2.95E-06
3793.294,1.63E-05
3791.366,2.68E-05
3789.437,1.20E-05
3787.509,-1.33E-05
3785.58,-2.79E-05
3783.652,-3.19E-05
3781.723,-3.61E-05
3779.795,-3.50E-05
3777.866,-2.24E-05
3775.938,-1.03E-05
3774.01,-1.21E-05
3772.081,-2.70E-05
3770.153,-3.39E-05
3768.224,-3.00E-05
3766.296,-3.35E-05
3764.367,-4.06E-05
3762.439,-4.79E-05
3760.51,-5.65E-05
3758.582,-5.30E-05
3756.653,-4.45E-05
3754.725,-5.69E-05
3752.796,-9.12E-05
3750.868,-0.0001188
3748.939,-0.000129773
3747.011,-0.000152131
3745.083,-0.000203675
3743.154,-0.000264215
3741.226,-0.000323092
3739.297,-0.000404306
3737.369,-0.000514205
3735.44,-0.000618131
3733.512,-0.000692105
3731.583,-0.000748805
3729.655,-0.000792629
3727.726,-0.000807202
3725.798,-0.000795058
3723.869,-0.000762087
3721.941,-0.000688228
3720.012,-0.000572686
3718.084,-0.000448683
3716.156,-0.000357649
3714.227,-0.000352838
3712.299,-0.000441235
3710.37,-0.000560173
