Wavenumbers [1/cm],Absorbance
3997.712,0.000148326
3995.783,0.000152366
3993.855,0.000152676
3991.926,0.000149362
3989.998,0.000150864
3988.069,0.000157959
3986.141,0.0001707
3984.212,0.000182379
3982.284,0.000186212
3980.355,0.000179064
3978.427,0.00016407
3976.499,0.000156017
3974.57,0.000155654
3972.642,0.000152107
3970.713,0.000152573
3968.785,0.000167126
3966.856,0.000182716
3964.928,0.000181214
3962.999,0.000169871
3961.071,0.000162568
3959.142,0.000156846
3957.214,0.00014641
3955.285,0.000134576
3953.357,0.000125746
3951.428,0.00011614
3949.5,0.000109822
3947.572,0.000118574
3945.643,0.000134188
3943.715,0.000145296
3941.786,0.000150864
3939.858,0.000148818
3937.929,0.000145115
3936.001,0.000146255
3934.072,0.000144028
3932.144,0.000132997
3930.215,0.000123053
3928.287,0.00012383
3926.358,0.000130226
3924.43,0.000126756
3922.501,0.000113085
3920.573,0.000105317
3918.645,0.000103634
3916.716,0.000101071
3914.788,0.000102236
3912.859,0.000103841
3910.931,0.00010353
3909.002,0.000111609
3907.074,0.000122536
3905.145,0.000121267
3903.217,0.000108113
3901.288,9.09E-05
3899.36,8.40E-05
3897.431,9.20E-05
3895.503,9.72E-05
3893.574,9.43E-05
3891.646,9.69E-05
3889.718,0.000102961
3887.789,0.000101459
3885.861,9.17E-05
3883.932,8.23E-05
3882.004,8.53E-05
3880.075,9.30E-05
3878.147,8.69E-05
3876.218,7.78E-05
3874.29,7.61E-05
3872.361,6.98E-05
3870.433,6.69E-05
3868.504,8.19E-05
3866.576,0.000102106
3864.647,0.000110159
3862.719,0.00010221
3860.791,8.13E-05
3858.862,6.77E-05
3856.934,7.15E-05
3855.005,6.73E-05
3853.077,4.98E-05
3851.148,4.40E-05
3849.22,5.10E-05
3847.291,5.61E-05
3845.363,5.65E-05
3843.434,5.38E-05
3841.506,5.45E-05
3839.577,6.63E-05
3837.649,8.56E-05
3835.72,9.53E-05
3833.792,7.81E-05
3831.864,4.60E-05
3829.935,2.97E-05
3828.007,3.26E-05
3826.078,3.93E-05
3824.15,4.98E-05
3822.221,6.70E-05
3820.293,7.25E-05
3818.364,5.27E-05
3816.436,2.72E-05
3814.507,2.26E-05
3812.579,3.77E-05
3810.65,5.36E-05
3808.722,5.12E-05
3806.793,3.25E-05
3804.865,2.00E-05
3802.937,1.87E-05
3801.008,1.94E-05
3799.08,2.07E-05
3797.151,1.73E-05
3795.223,1.44E-05
3793.294,2.88E-05
3791.366,4.82E-05
3789.437,4.57E-05
3787.509,2.56E-05
3785.58,1.41E-05
3783.652,1.24E-05
3781.723,8.10E-06
3779.795,1.17E-05
3777.866,2.23E-05
3775.938,1.51E-05
3774.01,-1.82E-05
3772.081,-4.74E-05
3770.153,-3.27E-05
3768.224,3.42E-06
3766.296,8.72E-06
3764.367,-1.16E-05
3762.439,-2.87E-05
3760.51,-3.23E-05
3758.582,-2.25E-05
3756.653,-1.23E-05
3754.725,-1.85E-05
3752.796,-3.88E-05
3750.868,-5.57E-05
3748.939,-6.50E-05
3747.011,-8.70E-05
3745.083,-0.000138985
3743.154,-0.000207194
3741.226,-0.000278961
3739.297,-0.000364322
3737.369,-0.000463319
3735.44,-0.000563327
3733.512,-0.000653233
3731.583,-0.000729992
3729.655,-0.000791493
3727.726,-0.0008133
3725.798,-0.000782862
3723.869,-0.000728493
3721.941,-0.000668534
3720.012,-0.000589593
3718.084,-0.000489745
3716.156,-0.000397323
3714.227,-0.000366236
3712.299,-0.000440511
3710.37,-0.000586594
3708.442,-0.000722394
3706.513,-0.00080343
3704.585,-0.00083769
3702.656,-0.000844924
3700.728,-0.000835416
3698.799,-0.000832936
3696.871,-0.000849729
3694.942,-0.000861872
3693.014,-0.000863009
3691.085,-0.000866419
3689.157,-0.000871482
3687.229,-0.000869725
3685.3,-0.000854793
3683.372,-0.000843891
3681.443,-0.000865282
3679.515,-0.000909353
3677.586,-0.000950476
3675.658,-0.000980953
3673.729,-0.00100585
3671.801,-0.001038545
3669.872,-0.001076092
3667.944,-0.001120451
3666.015,-0.001174565
3664.087,-0.001215249
3662.158,-0.001246225
3660.23,-0.001283908
3658.302,-0.001323447
3656.373,-0.001362259
3654.445,-0.001410873
3652.516,-0.001480739
3650.588,-0.001552451
3648.659,-0.001602333
3646.731,-0.001632507
3644.802,-0.001662885
3642.874,-0.001716725
3640.945,-0.001777725
3639.017,-0.001839903
3637.088,-0.001949697
3635.16,-0.002083474
3633.231,-0.002151738
3631.303,-0.002164617
3629.375,-0.002184553
3627.446,-0.002211544
3625.518,-0.002236577
3623.589,-0.002255325
3621.661,-0.002224679
3619.732,-0.002123043
3617.804,-0.002013447
3615.875,-0.001943409
3613.947,-0.001897278
3612.018,-0.001893102
3610.09,-0.001952377
3608.161,-0.002036276
3606.233,-0.002107329
3604.304,-0.002162454
3602.376,-0.002195885
3600.448,-0.002198255
3598.519,-0.002177135
3596.591,-0.002150914
3594.662,-0.00213108
3592.734,-0.002109596
3590.805,-0.002075333
3588.877,-0.00202025
3586.948,-0.001945986
3585.02,-0.001874957
3583.091,-0.001833356
3581.163,-0.00183449
3579.234,-0.001857018
3577.306,-0.001868978
3575.377,-0.001867122
3573.449,-0.001863874
3571.521,-0.001855884
3569.592,-0.001831345
3567.664,-0.001806908
3565.735,-0.001800772
3563.807,-0.0018083
3561.878,-0.001817941
3559.95,-0.001826963
3558.021,-0.001814899
3556.093,-0.001757152
3554.164,-0.001730339
3552.236,-0.001791595
3550.307,-0.001877071
3548.379,-0.001939647
3546.45,-0.001966756
3544.522,-0.001956603
3542.594,-0.001932018
3540.665,-0.00191104
3538.737,-0.001872019
3536.808,-0.001821653
3534.88,-0.001859338
3532.951,-0.0019984
3531.023,-0.002101147
3529.094,-0.002097901
3527.166,-0.002084402
3525.237,-0.002130565
3523.309,-0.002157302
3521.38,-0.002135047
3519.452,-0.002142826
3517.523,-0.002184811
3515.595,-0.002193722
3513.667,-0.002186047
3511.738,-0.002227048
3509.81,-0.002295702
3507.881,-0.002353892
3505.953,-0.002414597
3504.024,-0.002494031
3502.096,-0.002592904
3500.167,-0.002652958
3498.239,-0.002648224
3496.31,-0.002665102
3494.382,-0.002702559
3492.453,-0.002711872
3490.525,-0.002768514
3488.596,-0.002872211
3486.668,-0.002955572
3484.74,-0.003049867
3482.811,-0.003133709
3480.883,-0.003148152
3478.954,-0.003153857
3477.026,-0.003208232
3475.097,-0.003275754
3473.169,-0.003359552
3471.24,-0.003438813
3469.312,-0.003429619
3467.383,-0.003395819
3465.455,-0.003418729
3463.526,-0.003452013
3461.598,-0.003531668
3459.669,-0.003713059
3457.741,-0.003907151
3455.813,-0.004021655
3453.884,-0.004091052
3451.956,-0.004184896
3450.027,-0.004304505
3448.099,-0.004416292
3446.17,-0.004469894
3444.242,-0.004460875
3442.313,-0.004475787
3440.385,-0.004591423
3438.456,-0.004830384
3436.528,-0.00508431
3434.599,-0.005210168
3432.671,-0.005280807
3430.742,-0.005388507
3428.814,-0.005486161
3426.885,-0.005560128
3424.957,-0.00562652
3423.029,-0.005657693
3421.1,-0.00565478
3419.172,-0.00572596
3417.243,-0.0059285
3415.315,-0.006106034
3413.386,-0.006178364
3411.458,-0.006346817
3409.529,-0.006662521
3407.601,-0.006844189
3405.672,-0.006787923
3403.744,-0.006711768
3401.815,-0.006836851
3399.887,-0.007151893
3397.958,-0.007421872
3396.03,-0.007575241
3394.102,-0.007682527
3392.173,-0.007719199
3390.245,-0.007768479
3388.316,-0.007924268
3386.388,-0.008113133
3384.459,-0.008275148
3382.531,-0.008383987
3380.602,-0.008379062
3378.674,-0.008348133
3376.745,-0.008463708
3374.817,-0.008568947
3372.888,-0.008504578
3370.96,-0.008491987
3369.031,-0.008606965
3367.103,-0.008706842
3365.175,-0.008779146
3363.246,-0.008818058
3361.318,-0.008787517
3359.389,-0.008736374
3357.461,-0.008725312
3355.532,-0.008809384
3353.604,-0.008969262
3351.675,-0.00902763
3349.747,-0.008966169
3347.818,-0.00899827
3345.89,-0.009076407
3343.961,-0.009015054
3342.033,-0.008978138
3340.104,-0.009103734
3338.176,-0.009228129
3336.248,-0.009315195
3334.319,-0.009419063
3332.391,-0.00944728
3330.462,-0.009364092
3328.534,-0.009325634
3326.605,-0.009435426
3324.677,-0.009518753
3322.748,-0.009447939
3320.82,-0.009345496
3318.891,-0.009308709
3316.963,-0.009308101
3315.034,-0.009243182
